title,publication_date,file_path,duration,file_size,,New Title,
"VERY LAST WEEK Recap, with Category Specialists",2024-04-12 18:38:25+00:00,Fantasy NBA Today/VERY LAST WEEK Recap with Category Specialists.mp3,0:34:44,31.9,,VERY LAST WEEK Recap with Category Specialists,
Roll Them Bones & Tank Grizzlies are Fun,2024-04-11 16:37:13+00:00,Fantasy NBA Today/Roll Them Bones  Tank Grizzlies are Fun.mp3,0:38:00,34.89,,Roll Them Bones  Tank Grizzlies are Fun,
Is Giannis Alright? HUGE Fantasy News in the Final Few Days,2024-04-10 20:47:59+00:00,Fantasy NBA Today/Is Giannis Alright HUGE Fantasy News in the Final Few Days.mp3,0:27:08,24.93,,Is Giannis Alright HUGE Fantasy News in the Final Few Days,
Sweet Across-the-Board Player Adds for Tuesday,2024-04-09 18:25:22+00:00,Fantasy NBA Today/Sweet Across-the-Board Player Adds for Tuesday.mp3,0:45:05,41.37,,Sweet Across-the-Board Player Adds for Tuesday,
Final Week Schedule Preview and a Doozy,2024-04-08 20:13:16+00:00,Fantasy NBA Today/Final Week Schedule Preview and a Doozy.mp3,0:20:21,18.71,,Final Week Schedule Preview and a Doozy,
Must Adds for the FINAL WEEK!,2024-04-08 17:26:31+00:00,Fantasy NBA Today/Must Adds for the FINAL WEEK.mp3,0:39:35,36.34,,Must Adds for the FINAL WEEK,
Grab the Championship with these April 5-7 Weekend Adds and Moves,2024-04-05 22:11:53+00:00,Fantasy NBA Today/Grab the Championship with these April 5-7 Weekend Adds and Moves.mp3,0:18:24,16.93,,Grab the Championship with these April 5-7 Weekend Adds and Moves,
Week 24 Recap | League-Winning Must Adds and Drops,2024-04-05 17:44:55+00:00,Fantasy NBA Today/Week 24 Recap  League-Winning Must Adds and Drops.mp3,0:43:04,39.53,,Week 24 Recap  League-Winning Must Adds and Drops,
"Playoff Head-to-Head Guide for Thursday, April 4",2024-04-04 20:50:36+00:00,Fantasy NBA Today/Playoff Head-to-Head Guide for Thursday April 4.mp3,0:22:00,20.22,,Playoff Head-to-Head Guide for Thursday April 4,
Malachi Flynn Drops 50!!!,2024-04-04 16:34:15+00:00,Fantasy NBA Today/Malachi Flynn Drops 50.mp3,0:35:55,32.98,,Malachi Flynn Drops 50,
Best Paths to Maximize Games for Wednesday,2024-04-03 20:58:46+00:00,Fantasy NBA Today/Best Paths to Maximize Games for Wednesday.mp3,0:17:43,16.3,,Best Paths to Maximize Games for Wednesday,
"Joel Embiid Returns! Wonderful Times, Indeed!",2024-04-03 17:31:04+00:00,Fantasy NBA Today/Joel Embiid Returns Wonderful Times Indeed.mp3,0:38:35,35.42,,Joel Embiid Returns Wonderful Times Indeed,
"Players on Back-to-Backs to Stream for Tuesday, April 2",2024-04-02 21:23:32+00:00,Fantasy NBA Today/Players on Back-to-Backs to Stream for Tuesday April 2.mp3,0:14:40,13.5,,Players on Back-to-Backs to Stream for Tuesday April 2,
"Wiseman, Jalen Smith, Brandon Clarke, OH MY - Bigs are HOT right now",2024-04-02 16:13:45+00:00,Fantasy NBA Today/Wiseman Jalen Smith Brandon Clarke OH MY - Bigs are HOT right now.mp3,0:33:35,30.84,,Wiseman Jalen Smith Brandon Clarke OH MY - Bigs are HOT right now,
"Week 24 Fantasy Basketball Preview - Schedules, Sit/Start",2024-04-01 22:03:52+00:00,Fantasy NBA Today/Week 24 Fantasy Basketball Preview - Schedules SitStart.mp3,0:23:02,21.17,,Week 24 Fantasy Basketball Preview - Schedules SitStart,
Must Adds for Fantasy Basketball - Second-to-Last Week!,2024-04-01 18:11:55+00:00,Fantasy NBA Today/Must Adds for Fantasy Basketball - Second-to-Last Week.mp3,0:49:05,45.04,,Must Adds for Fantasy Basketball - Second-to-Last Week,
Easter Sunday Fantasy Basketball ADDS for Head-to-Head Leagues,2024-03-31 17:02:10+00:00,Fantasy NBA Today/Easter Sunday Fantasy Basketball ADDS for Head-to-Head Leagues.mp3,0:15:15,14.03,,Easter Sunday Fantasy Basketball ADDS for Head-to-Head Leagues,
Quick Hits! Saturday's Top Adds for Head-to-Head Daily Fantasy Basketball,2024-03-30 16:14:00+00:00,Fantasy NBA Today/Quick Hits Saturdays Top Adds for Head-to-Head Daily Fantasy Basketball.mp3,0:13:46,12.69,,Quick Hits Saturdays Top Adds for Head-to-Head Daily Fantasy Basketball,
"Head-to-Head Fantasy Basketball Playoff Strategy, March 29",2024-03-29 21:37:12+00:00,Fantasy NBA Today/Head-to-Head Fantasy Basketball Playoff Strategy March 29.mp3,0:18:35,17.1,,Head-to-Head Fantasy Basketball Playoff Strategy March 29,
"Week 23 Fantasy Basketball Recap | Adds, Drops, Holds and League Winners",2024-03-29 17:17:48+00:00,Fantasy NBA Today/Week 23 Fantasy Basketball Recap  Adds Drops Holds and League Winners.mp3,0:45:13,41.51,,Week 23 Fantasy Basketball Recap  Adds Drops Holds and League Winners,
"It's QUALITY Streaming Day; Players to Add to Max Out Games on Thursday, March 28",2024-03-28 19:45:45+00:00,Fantasy NBA Today/Its QUALITY Streaming Day Players to Add to Max Out Games on Thursday March 28.mp3,0:17:15,15.88,,Its QUALITY Streaming Day Players to Add to Max Out Games on Thursday March 28,
LaMelo Ball SHUT DOWN Officially! Who's the Fantasy Add?,2024-03-28 17:07:06+00:00,Fantasy NBA Today/LaMelo Ball SHUT DOWN Officially Whos the Fantasy Add.mp3,0:38:20,35.19,,LaMelo Ball SHUT DOWN Officially Whos the Fantasy Add,
"Time to Go Streaming! Maxing Out Games for Wednesday, March 27 in Head-to-Head Leagues",2024-03-27 21:11:43+00:00,Fantasy NBA Today/Time to Go Streaming Maxing Out Games for Wednesday March 27 in Head-to-Head Leagues.mp3,0:12:50,11.82,,Time to Go Streaming Maxing Out Games for Wednesday March 27 in Head-to-Head Leagues,
"Silly Season with Doctor A (Steve Alexander of ESPN), 30-Deep Finals, Reaves Triple Double",2024-03-27 18:05:09+00:00,Fantasy NBA Today/Silly Season with Doctor A Steve Alexander of ESPN 30-Deep Finals Reaves Triple Double.mp3,0:50:00,45.88,,Silly Season with Doctor A Steve Alexander of ESPN 30-Deep Finals Reaves Triple Double,
"Moves to Make to Win Your Playoff Head-to-Head Battle, March 26",2024-03-26 21:12:29+00:00,Fantasy NBA Today/Moves to Make to Win Your Playoff Head-to-Head Battle March 26.mp3,0:32:00,29.39,,Moves to Make to Win Your Playoff Head-to-Head Battle March 26,
Lakers Rotations with Ryan Ward & Daniel Gafford Appreciation Hour,2024-03-26 17:55:02+00:00,Fantasy NBA Today/Lakers Rotations with Ryan Ward  Daniel Gafford Appreciation Hour.mp3,1:04:18,58.99,,Lakers Rotations with Ryan Ward  Daniel Gafford Appreciation Hour,
Week 23 MAX GAMES Preview; Streaming Guide for Fantasy Basketball Playoffs,2024-03-25 19:52:48+00:00,Fantasy NBA Today/Week 23 MAX GAMES Preview Streaming Guide for Fantasy Basketball Playoffs.mp3,0:20:35,18.93,,Week 23 MAX GAMES Preview Streaming Guide for Fantasy Basketball Playoffs,
Must Adds for Week 23,2024-03-25 17:19:17+00:00,Fantasy NBA Today/Must Adds for Week 23.mp3,0:46:49,42.97,,Must Adds for Week 23,
Do it again! Best Adds for the Head-to-Head Playoffs March 22-24 Weekend,2024-03-22 22:31:07+00:00,Fantasy NBA Today/Do it again Best Adds for the Head-to-Head Playoffs March 22-24 Weekend.mp3,0:23:05,21.21,,Do it again Best Adds for the Head-to-Head Playoffs March 22-24 Weekend,
"Week 22 Recap | BIG Injuries, Adds and Drops",2024-03-22 17:09:34+00:00,Fantasy NBA Today/Week 22 Recap  BIG Injuries Adds and Drops.mp3,0:40:52,37.52,,Week 22 Recap  BIG Injuries Adds and Drops,
Streamer Show for March 31: Let's Max Out Those Games,2024-03-21 21:02:59+00:00,Fantasy NBA Today/Streamer Show for March 31 Lets Max Out Those Games.mp3,0:27:50,25.57,,Streamer Show for March 31 Lets Max Out Those Games,
"Keon Ellis, Defensive MASTERMIND (and Fantasy Basketball Add!)",2024-03-21 16:50:11+00:00,Fantasy NBA Today/Keon Ellis Defensive MASTERMIND and Fantasy Basketball Add.mp3,0:46:19,42.51,,Keon Ellis Defensive MASTERMIND and Fantasy Basketball Add,
"Stream and MAX OUT Games for Wednesday, March 20",2024-03-20 21:52:32+00:00,Fantasy NBA Today/Stream and MAX OUT Games for Wednesday March 20.mp3,0:19:44,18.15,,Stream and MAX OUT Games for Wednesday March 20,
Jaden McDaniels & Amen Thompson are STUDS and Must Adds,2024-03-20 17:30:36+00:00,Fantasy NBA Today/Jaden McDaniels  Amen Thompson are STUDS and Must Adds.mp3,0:38:30,35.34,,Jaden McDaniels  Amen Thompson are STUDS and Must Adds,
