title,publication_date,file_path,duration,file_size,,,
"Fantasy Parting Thoughts, Shutdown Parade + Can the Red-Hot Mavs Win the Title?",2024-04-11 18:34:00+00:00,RotoWire Fantasy Basketball/Fantasy Parting Thoughts Shutdown Parade  Can the Red-Hot Mavs Win the Title.mp3,3294,0,,,111.0011111
"Recapping a Big NBA Tuesday: Giannis Goes Down, Warriors Go Off, Orlando Falls to Houston, What to Make of the Suns + More",2024-04-10 18:21:08+00:00,RotoWire Fantasy Basketball/Recapping a Big NBA Tuesday Giannis Goes Down Warriors Go Off Orlando Falls to Houston What to Make of the Suns  More.mp3,2572,0,,,
"Trae Young, KAT Set to Return, Playoff Forecast + Full Tuesday Night Preview",2024-04-09 18:30:00+00:00,RotoWire Fantasy Basketball/Trae Young KAT Set to Return Playoff Forecast  Full Tuesday Night Preview.mp3,3491,0,,,
"Final Week Adds/Drops, Playoff Races + Where to Take Zion, Chet, Wembanyama, Reaves & Others Next Season",2024-04-08 21:40:31+00:00,RotoWire Fantasy Basketball/Final Week AddsDrops Playoff Races  Where to Take Zion Chet Wembanyama Reaves  Others Next Season.mp3,3459,0,,,
"Friday Episode Finale: Six Waiver Suggestions, Reviewing Sleepers & Busts",2024-04-05 16:19:29+00:00,RotoWire Fantasy Basketball/Friday Episode Finale Six Waiver Suggestions Reviewing Sleepers  Busts.mp3,3151,0,,,
"Bucks Fall to Washington, Wembanyama vs. Jokic + Most Disappointing Fantasy Players in 2023-24",2024-04-03 16:14:12+00:00,RotoWire Fantasy Basketball/Bucks Fall to Washington Wembanyama vs Jokic  Most Disappointing Fantasy Players in 2023-24.mp3,2859,0,,,
"Late-Season Shutdowns, Pacers' Upside, Booker Goes Off + Should We Trust the Pels?",2024-04-02 18:12:00+00:00,RotoWire Fantasy Basketball/Late-Season Shutdowns Pacers Upside Booker Goes Off  Should We Trust the Pels.mp3,2955,0,,,
"Wembanyama's Outrageous Rookie Season, Kings Lose Malik Monk, Draft Decisions for 2024-25 + Live Q&A",2024-04-01 22:17:04+00:00,RotoWire Fantasy Basketball/Wembanyamas Outrageous Rookie Season Kings Lose Malik Monk Draft Decisions for 2024-25  Live QA.mp3,3548,0,,,
Seven Quick Waiver Wire Suggestions for Fantasy Basketball Playoffs,2024-03-28 18:58:34+00:00,RotoWire Fantasy Basketball/Seven Quick Waiver Wire Suggestions for Fantasy Basketball Playoffs.mp3,1122,0,,,
Weekend Pickups to Bring Home Your Fantasy Championship,2024-03-28 18:28:00+00:00,RotoWire Fantasy Basketball/Weekend Pickups to Bring Home Your Fantasy Championship.mp3,3310,0,,,
"Bucks Concerns, OKC's Finals Chances, Zion 2.0 + Players We're Avoiding in 2024-25",2024-03-27 15:37:00+00:00,RotoWire Fantasy Basketball/Bucks Concerns OKCs Finals Chances Zion 20  Players Were Avoiding in 2024-25.mp3,3199,0,,,
"Monday Night's Fantasy Takeaways: Hawks Rally Back, DiVincenzo Explodes, Rockets (Still) Rolling + Fantasy Q&A",2024-03-26 18:21:00+00:00,RotoWire Fantasy Basketball/Monday Nights Fantasy Takeaways Hawks Rally Back DiVincenzo Explodes Rockets Still Rolling  Fantasy QA.mp3,3728,0,,,
"Rockets Making a Run, Zion's Second Half, Tough Drop Decisions + Fantasy Playoffs Advice",2024-03-25 22:03:00+00:00,RotoWire Fantasy Basketball/Rockets Making a Run Zions Second Half Tough Drop Decisions  Fantasy Playoffs Advice.mp3,2886,0,,,
"Bucks-Celtics Takeaways, Wembanyama's Fantasy Stock, Ausar Thompson, Daily vs. Weekly Leagues + Late-Season Advice",2024-03-21 18:22:44+00:00,RotoWire Fantasy Basketball/Bucks-Celtics Takeaways Wembanyamas Fantasy Stock Ausar Thompson Daily vs Weekly Leagues  Late-Season Advice.mp3,3099,0,,,
"Pelicans, Magic Still Rolling, Playoff Streamers, Fantasy MVPs + More",2024-03-20 15:42:00+00:00,RotoWire Fantasy Basketball/Pelicans Magic Still Rolling Playoff Streamers Fantasy MVPs  More.mp3,3437,0,,,
"Ant Goes Off, Injuries in the East + Tips to Win Your Fantasy Playoffs",2024-03-19 18:13:00+00:00,RotoWire Fantasy Basketball/Ant Goes Off Injuries in the East  Tips to Win Your Fantasy Playoffs.mp3,3575,0,,,
"Fantasy Playoffs Advice: Starts, Sits, Adds, Drops, Streamers and More",2024-03-18 20:36:00+00:00,RotoWire Fantasy Basketball/Fantasy Playoffs Advice Starts Sits Adds Drops Streamers and More.mp3,3419,0,,,
Must-Add Players from the Fantasy Basketball Waiver Wire (March 18-24),2024-03-15 15:58:19+00:00,RotoWire Fantasy Basketball/Must-Add Players from the Fantasy Basketball Waiver Wire March 18-24.mp3,2857,0,,,
"Luka, Coby White Injuries, Gafford Chasing Wilt, Nuggets vs. Celtics, Bad-Team Concerns + More",2024-03-14 18:39:00+00:00,RotoWire Fantasy Basketball/Luka Coby White Injuries Gafford Chasing Wilt Nuggets vs Celtics Bad-Team Concerns  More.mp3,3989,0,,,
"Tuesday Night Recap, Rockets Rotation, Teams Not to Trust + Fantasy Q&A",2024-03-13 15:46:00+00:00,RotoWire Fantasy Basketball/Tuesday Night Recap Rockets Rotation Teams Not to Trust  Fantasy QA.mp3,3044,0,,,
"Replacing Sengun, Luka's Incredible Run, Streaming Candidates + Is the MVP Race Decided?",2024-03-12 18:20:00+00:00,RotoWire Fantasy Basketball/Replacing Sengun Lukas Incredible Run Streaming Candidates  Is the MVP Race Decided.mp3,3762,0,,,
"Weekend Recap: Sengun Goes Down, Late-Season Adds, Utah Concerns + More",2024-03-11 21:08:00+00:00,RotoWire Fantasy Basketball/Weekend Recap Sengun Goes Down Late-Season Adds Utah Concerns  More.mp3,2898,0,,,
Fantasy Basketball Waiver Wire: Who to Add Amid League-Wide Injuries,2024-03-08 17:15:31+00:00,RotoWire Fantasy Basketball/Fantasy Basketball Waiver Wire Who to Add Amid League-Wide Injuries.mp3,2583,0,,,
"KAT, LeBron, Mobley Injuries, Jalen Johnson, Making Sense of the Raptors, Sengun on a Tear + More",2024-03-07 19:11:00+00:00,RotoWire Fantasy Basketball/KAT LeBron Mobley Injuries Jalen Johnson Making Sense of the Raptors Sengun on a Tear  More.mp3,3520,0,,,
"Daily News & Notes, Late-Season Streams, Dynasty Tips + More",2024-03-06 19:06:00+00:00,RotoWire Fantasy Basketball/Daily News  Notes Late-Season Streams Dynasty Tips  More.mp3,3217,0,,,
"Wemby's Greatness, Nets' 5-Game Week, Bulls' Rally Back + Giannis Set to Miss Time?",2024-03-05 19:18:00+00:00,RotoWire Fantasy Basketball/Wembys Greatness Nets 5-Game Week Bulls Rally Back  Giannis Set to Miss Time.mp3,3037,0,,,
"Big Injury Updates, Next Year's First Round, Adds/Drops + Live Q&A",2024-03-04 21:53:00+00:00,RotoWire Fantasy Basketball/Big Injury Updates Next Years First Round AddsDrops  Live QA.mp3,3783,0,,,
Fantasy Basketball Waiver Wire: Adds for Week 19 (2023-24),2024-03-01 17:09:37+00:00,RotoWire Fantasy Basketball/Fantasy Basketball Waiver Wire Adds for Week 19 2023-24.mp3,2702,0,,,
"LeBron Closing in on 40K, Mathurin Emerging, Late-Season Trades, Stashes + Live Q&A",2024-02-29 19:14:00+00:00,RotoWire Fantasy Basketball/LeBron Closing in on 40K Mathurin Emerging Late-Season Trades Stashes  Live QA.mp3,3662,0,,,
"Fantasy News + Notes, Wembanyama's 2024-25 Value, Biggest Risers/Fallers This Season",2024-02-28 16:38:00+00:00,RotoWire Fantasy Basketball/Fantasy News  Notes Wembanyamas 2024-25 Value Biggest RisersFallers This Season.mp3,3210,0,,,
"Embiid Dilemma, Nets ROS, Raptors' Direction, Ben Mathurin + More",2024-02-27 17:41:00+00:00,RotoWire Fantasy Basketball/Embiid Dilemma Nets ROS Raptors Direction Ben Mathurin  More.mp3,3100,0,,,
"Hawks Lose Trae Young, Biggest Shutdown Risks, Late-Season Trades + Live Q&A",2024-02-26 20:37:00+00:00,RotoWire Fantasy Basketball/Hawks Lose Trae Young Biggest Shutdown Risks Late-Season Trades  Live QA.mp3,3377,0,,,
Fantasy Basketball Waivers: Post-All-Star Adds (2023-24),2024-02-23 18:53:46+00:00,RotoWire Fantasy Basketball/Fantasy Basketball Waivers Post-All-Star Adds 2023-24.mp3,3930,0,,,
"Hot Post-Break Pickups, Post-Vaughn Nets, Wizards to Target, Tre Mann, GG Jackson + More",2024-02-22 19:11:00+00:00,RotoWire Fantasy Basketball/Hot Post-Break Pickups Post-Vaughn Nets Wizards to Target Tre Mann GG Jackson  More.mp3,3814,0,,,
"Shutdown Concerns, Playoff Schedules, Live Q&A + Is the All-Star Game Dead?",2024-02-21 19:05:00+00:00,RotoWire Fantasy Basketball/Shutdown Concerns Playoff Schedules Live QA  Is the All-Star Game Dead.mp3,3000,0,,,
"All-Star Weekend Takeaways, Nets Deep Dive, Schedule Notes + Fantasy Basketball Q&A",2024-02-20 19:36:00+00:00,RotoWire Fantasy Basketball/All-Star Weekend Takeaways Nets Deep Dive Schedule Notes  Fantasy Basketball QA.mp3,2707,0,,,
Fantasy Basketball Waiver Wire: All-Star Break Adds (2023-24),2024-02-16 17:21:02+00:00,RotoWire Fantasy Basketball/Fantasy Basketball Waiver Wire All-Star Break Adds 2023-24.mp3,2586,0,,,
"Takeaways From a 13-game Wednesday Night, Deni Avdija, Tre Mann, Thompson Twins, Klay vs. Podziemski, Listener Q&A + More",2024-02-15 18:28:00+00:00,RotoWire Fantasy Basketball/Takeaways From a 13-game Wednesday Night Deni Avdija Tre Mann Thompson Twins Klay vs Podziemski Listener QA  More.mp3,3723,0,,,
"What To Do With LaMelo, Trading De'Aaron Fox, Warriors Pursuing LeBron + More with Nick Whalen and Brandon Kravitz",2024-02-14 17:17:00+00:00,RotoWire Fantasy Basketball/What To Do With LaMelo Trading DeAaron Fox Warriors Pursuing LeBron  More with Nick Whalen and Brandon Kravitz.mp3,3000,0,,,
"Wembanyama's Monster Night, Injuries Piling up in Miami, Surging Mavs, Atlanta's Future + More with Bob Nastanovich",2024-02-13 18:07:00+00:00,RotoWire Fantasy Basketball/Wembanyamas Monster Night Injuries Piling up in Miami Surging Mavs Atlantas Future  More with Bob Nastanovich.mp3,4047,0,,,
"Post-Deadline Waiver Wire Report, Adds/Drops, Best Streamers + Live Fantasy Q&A",2024-02-12 22:10:00+00:00,RotoWire Fantasy Basketball/Post-Deadline Waiver Wire Report AddsDrops Best Streamers  Live Fantasy QA.mp3,4688,0,,,
Fantasy Basketball Trade Deadline: Waiver Wire Extravaganza 2023-24,2024-02-09 17:43:51+00:00,RotoWire Fantasy Basketball/Fantasy Basketball Trade Deadline Waiver Wire Extravaganza 2023-24.mp3,3907,0,,,
Trade Deadline Analysis + Players to Monitor as the All-Star Break Nears,2024-02-08 18:58:00+00:00,RotoWire Fantasy Basketball/Trade Deadline Analysis  Players to Monitor as the All-Star Break Nears.mp3,3157,0,,,
"Trade Deadline Preview, Who to Add, Sell-High Options + Live Q&A with Nick Whalen and Brandon Kravitz",2024-02-07 16:09:00+00:00,RotoWire Fantasy Basketball/Trade Deadline Preview Who to Add Sell-High Options  Live QA with Nick Whalen and Brandon Kravitz.mp3,3308,0,,,
"Players Trending Up/Down, Trade Deadline Targets + How Seriously Should We Take the Cavs and Clippers? with Ken Crites",2024-02-06 17:58:00+00:00,RotoWire Fantasy Basketball/Players Trending UpDown Trade Deadline Targets  How Seriously Should We Take the Cavs and Clippers with Ken Crites.mp3,3693,0,,,
"Players to Stash at the Trade Deadline, Adds/Drops, Paul Reed Upside + More ",2024-02-05 22:51:00+00:00,RotoWire Fantasy Basketball/Players to Stash at the Trade Deadline AddsDrops Paul Reed Upside  More .mp3,4138,0,,,
